total_cases novelDailyCases active_cases total_deaths daily_deaths
1.067400000000000000e+04 1.300000000000000000e+01 2.324000000000000000e+03 2.360000000000000000e+02 2.000000000000000000e+00
1.068300000000000000e+04 9.000000000000000000e+00 2.233000000000000000e+03 2.370000000000000000e+02 1.000000000000000000e+00
1.069400000000000000e+04 1.100000000000000000e+01 2.179000000000000000e+03 2.380000000000000000e+02 1.000000000000000000e+00
1.070200000000000000e+04 8.000000000000000000e+00 2.051000000000000000e+03 2.400000000000000000e+02 2.000000000000000000e+00
1.070800000000000000e+04 6.000000000000000000e+00 1.967000000000000000e+03 2.400000000000000000e+02 0.000000000000000000e+00
1.071800000000000000e+04 1.000000000000000000e+01 1.843000000000000000e+03 2.400000000000000000e+02 0.000000000000000000e+00
1.072800000000000000e+04 1.000000000000000000e+01 1.769000000000000000e+03 2.420000000000000000e+02 2.000000000000000000e+00
1.073800000000000000e+04 1.000000000000000000e+01 1.731000000000000000e+03 2.430000000000000000e+02 1.000000000000000000e+00
1.075200000000000000e+04 1.400000000000000000e+01 1.654000000000000000e+03 2.440000000000000000e+02 1.000000000000000000e+00
1.076100000000000000e+04 9.000000000000000000e+00 1.593000000000000000e+03 2.460000000000000000e+02 2.000000000000000000e+00
1.076500000000000000e+04 4.000000000000000000e+00 1.459000000000000000e+03 2.470000000000000000e+02 1.000000000000000000e+00
1.077400000000000000e+04 9.000000000000000000e+00 1.454000000000000000e+03 2.480000000000000000e+02 1.000000000000000000e+00
1.078000000000000000e+04 6.000000000000000000e+00 1.407000000000000000e+03 2.500000000000000000e+02 2.000000000000000000e+00
1.079300000000000000e+04 1.300000000000000000e+01 1.360000000000000000e+03 2.500000000000000000e+02 0.000000000000000000e+00
1.080100000000000000e+04 8.000000000000000000e+00 1.332000000000000000e+03 2.520000000000000000e+02 2.000000000000000000e+00
1.080400000000000000e+04 3.000000000000000000e+00 1.267000000000000000e+03 2.540000000000000000e+02 2.000000000000000000e+00
1.080600000000000000e+04 2.000000000000000000e+00 1.218000000000000000e+03 2.550000000000000000e+02 1.000000000000000000e+00
1.081000000000000000e+04 4.000000000000000000e+00 1.135000000000000000e+03 2.560000000000000000e+02 1.000000000000000000e+00
1.082200000000000000e+04 1.200000000000000000e+01 1.082000000000000000e+03 2.560000000000000000e+02 0.000000000000000000e+00
1.084000000000000000e+04 1.800000000000000000e+01 1.016000000000000000e+03 2.560000000000000000e+02 0.000000000000000000e+00
1.087400000000000000e+04 3.400000000000000000e+01 1.008000000000000000e+03 2.560000000000000000e+02 0.000000000000000000e+00
1.090900000000000000e+04 3.500000000000000000e+01 1.021000000000000000e+03 2.560000000000000000e+02 0.000000000000000000e+00
1.093600000000000000e+04 2.700000000000000000e+01 1.008000000000000000e+03 2.580000000000000000e+02 2.000000000000000000e+00
1.096200000000000000e+04 2.600000000000000000e+01 1.008000000000000000e+03 2.590000000000000000e+02 1.000000000000000000e+00
1.099100000000000000e+04 2.900000000000000000e+01 9.690000000000000000e+02 2.600000000000000000e+02 1.000000000000000000e+00
1.101800000000000000e+04 2.700000000000000000e+01 9.370000000000000000e+02 2.600000000000000000e+02 0.000000000000000000e+00
1.103700000000000000e+04 1.900000000000000000e+01 9.240000000000000000e+02 2.620000000000000000e+02 2.000000000000000000e+00
1.105000000000000000e+04 1.300000000000000000e+01 9.000000000000000000e+02 2.620000000000000000e+02 0.000000000000000000e+00
1.106500000000000000e+04 1.500000000000000000e+01 8.980000000000000000e+02 2.630000000000000000e+02 1.000000000000000000e+00
1.107800000000000000e+04 1.300000000000000000e+01 8.770000000000000000e+02 2.630000000000000000e+02 0.000000000000000000e+00
1.111000000000000000e+04 3.200000000000000000e+01 7.810000000000000000e+02 2.630000000000000000e+02 0.000000000000000000e+00
1.112200000000000000e+04 1.200000000000000000e+01 7.230000000000000000e+02 2.640000000000000000e+02 1.000000000000000000e+00
1.114200000000000000e+04 2.000000000000000000e+01 7.160000000000000000e+02 2.640000000000000000e+02 0.000000000000000000e+00
